akthst,linientext,total_trips,avg_delay,median_delay,pct_high_delay,delay_group,delay_color,longitude,latitude
4074101,18,559,3.7216457960644007,3.13,24.15026833631485,0-5 (Slight),#F1C40F,7.566356,51.877216
4074301,18,1230,2.0729512195121953,0.4,17.317073170731707,0-5 (Slight),#F1C40F,7.559721,51.877557
4074601,18,401,2.3237157107231923,1.35,10.473815461346634,0-5 (Slight),#F1C40F,7.57063,51.884527
4074801,18,226,2.025442477876106,1.79,10.176991150442479,0-5 (Slight),#F1C40F,7.577278,51.890871
4100001,1,2616,1.7302255351681959,0.82,10.856269113149846,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,10,1816,1.8677698237885463,0.07,13.105726872246695,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,11,2794,1.3659770937723694,0.0,6.263421617752327,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,12,89,1.8046067415730336,0.0,19.101123595505616,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,14,2827,1.2302759108595684,0.52,5.695083126989742,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,15,2262,2.3720203359858534,1.13,16.091954022988507,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,16,2457,1.691786731786732,0.98,9.238909238909239,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,17,1133,1.8178993821712266,0.4,9.973521624007061,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,2,1779,1.7815795390668914,0.15,12.25407532321529,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,4,2901,2.5247845570492933,1.37,16.270251637366425,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,5,2802,1.7360206995003569,0.22,14.525339043540328,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,6,1929,1.587407983411094,0.23,13.893208916537066,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,7,72,0.2791666666666666,-0.55,0.0,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,8,1964,1.0916904276985744,0.22,8.146639511201629,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,9,2133,2.5842991092358183,0.98,21.612751992498826,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E10,134,2.322985074626866,1.245,16.417910447761194,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E11,110,3.6258181818181816,3.48,37.27272727272727,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E14,53,2.9445283018867925,3.12,24.528301886792452,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E15,19,9.031578947368422,4.4,42.10526315789473,5-10 (Moderate),#E67E22,7.634155,51.9566
4100001,E17,43,4.213953488372093,1.77,25.581395348837212,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E4,35,2.7725714285714287,1.55,17.142857142857142,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E6,272,0.9031985294117647,0.67,2.941176470588235,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E8,46,4.693695652173913,4.86,50.0,0-5 (Slight),#F1C40F,7.634155,51.9566
4100001,E80,44,-0.24704545454545457,0.0,0.0,< 0 (Early/On-time),#2ECC71,7.634155,51.9566
4100001,E81,28,-0.4614285714285714,0.0,0.0,< 0 (Early/On-time),#2ECC71,7.634155,51.9566
4100001,E82,31,-0.018709677419354837,0.0,0.0,< 0 (Early/On-time),#2ECC71,7.634155,51.9566
4100001,E83,34,-0.2791176470588235,0.0,0.0,< 0 (Early/On-time),#2ECC71,7.634155,51.9566
4100001,E84,26,0.05538461538461538,0.0,0.0,0-5 (Slight),#F1C40F,7.634155,51.9566
